verein,marktwert,date
1.FSV Mainz 05,90.55,2021-01-01
1.FC Köln,101.65,2021-01-01
FC Augsburg,104.28,2021-01-01
Hertha BSC,251.93,2021-01-01
1.FC Union Berlin,60.60,2021-01-01
Arminia Bielefeld,45.15,2021-01-01
VfL Bochum,18.23,2021-01-01
SpVgg Greuther Fürth,12.70,2021-01-01
FC Bayern München,895.70,2020-12-15
Borussia Dortmund,614.60,2020-12-15
RasenBallsport Leipzig,527.68,2020-12-15
Bayer 04 Leverkusen,343.45,2020-12-15
Eintracht Frankfurt,191.70,2020-12-15
VfL Wolfsburg,218.75,2020-12-15
Borussia Mönchengladbach,340.88,2020-12-15
TSG 1899 Hoffenheim,238.33,2020-12-15
VfB Stuttgart,104.05,2020-12-15
SC Freiburg,111.70,2020-12-15
1.FSV Mainz 05,95.05,2020-12-15
1.FC Köln,101.65,2020-12-15
FC Augsburg,104.28,2020-12-15
Hertha BSC,251.93,2020-12-15
1.FC Union Berlin,61.13,2020-12-15
Arminia Bielefeld,45.75,2020-12-15
VfL Bochum,18.23,2020-12-15
SpVgg Greuther Fürth,12.70,2020-12-15
FC Bayern München,895.20,2020-12-01
Borussia Dortmund,614.45,2020-12-01
RasenBallsport Leipzig,527.68,2020-12-01
Bayer 04 Leverkusen,343.45,2020-12-01
Eintracht Frankfurt,191.70,2020-12-01
VfL Wolfsburg,218.75,2020-12-01
Borussia Mönchengladbach,340.88,2020-12-01
TSG 1899 Hoffenheim,238.33,2020-12-01
VfB Stuttgart,104.05,2020-12-01
SC Freiburg,111.70,2020-12-01
1.FSV Mainz 05,95.05,2020-12-01
1.FC Köln,101.65,2020-12-01
FC Augsburg,104.03,2020-12-01
Hertha BSC,251.93,2020-12-01
1.FC Union Berlin,61.13,2020-12-01
Arminia Bielefeld,45.75,2020-12-01
VfL Bochum,18.23,2020-12-01
SpVgg Greuther Fürth,12.70,2020-12-01
FC Bayern München,881.20,2020-11-15
Borussia Dortmund,587.25,2020-11-15
RasenBallsport Leipzig,514.58,2020-11-15
Bayer 04 Leverkusen,323.45,2020-11-15
Eintracht Frankfurt,184.90,2020-11-15
VfL Wolfsburg,209.25,2020-11-15
Borussia Mönchengladbach,313.43,2020-11-15
TSG 1899 Hoffenheim,224.13,2020-11-15
VfB Stuttgart,80.35,2020-11-15
SC Freiburg,106.20,2020-11-15
1.FSV Mainz 05,103.95,2020-11-15
1.FC Köln,101.83,2020-11-15
FC Augsburg,96.43,2020-11-15
Hertha BSC,234.63,2020-11-15
1.FC Union Berlin,56.03,2020-11-15
Arminia Bielefeld,47.15,2020-11-15
VfL Bochum,17.80,2020-11-15
SpVgg Greuther Fürth,10.38,2020-11-15
FC Bayern München,875.95,2020-11-01
Borussia Dortmund,587.25,2020-11-01
RasenBallsport Leipzig,514.58,2020-11-01
Bayer 04 Leverkusen,323.45,2020-11-01
Eintracht Frankfurt,184.90,2020-11-01
VfL Wolfsburg,209.25,2020-11-01
Borussia Mönchengladbach,313.43,2020-11-01
TSG 1899 Hoffenheim,224.10,2020-11-01
VfB Stuttgart,80.35,2020-11-01
SC Freiburg,106.20,2020-11-01
1.FSV Mainz 05,103.95,2020-11-01
1.FC Köln,101.83,2020-11-01
FC Augsburg,96.43,2020-11-01
Hertha BSC,234.63,2020-11-01
1.FC Union Berlin,56.03,2020-11-01
Arminia Bielefeld,47.15,2020-11-01
VfL Bochum,17.80,2020-11-01
SpVgg Greuther Fürth,10.38,2020-11-01
FC Bayern München,868.95,2020-10-15
Borussia Dortmund,587.25,2020-10-15
RasenBallsport Leipzig,514.58,2020-10-15
Bayer 04 Leverkusen,323.45,2020-10-15
Eintracht Frankfurt,184.90,2020-10-15
VfL Wolfsburg,209.25,2020-10-15
Borussia Mönchengladbach,313.38,2020-10-15
TSG 1899 Hoffenheim,224.10,2020-10-15
VfB Stuttgart,79.75,2020-10-15
SC Freiburg,106.20,2020-10-15
1.FSV Mainz 05,103.95,2020-10-15
1.FC Köln,101.83,2020-10-15
FC Augsburg,96.43,2020-10-15
Hertha BSC,234.63,2020-10-15
1.FC Union Berlin,56.03,2020-10-15
Arminia Bielefeld,47.15,2020-10-15
VfL Bochum,17.80,2020-10-15
SpVgg Greuther Fürth,10.38,2020-10-15
FC Bayern München,837.95,2020-10-01
Borussia Dortmund,593.75,2020-10-01
RasenBallsport Leipzig,500.63,2020-10-01
Bayer 04 Leverkusen,331.45,2020-10-01
Eintracht Frankfurt,182.18,2020-10-01
VfL Wolfsburg,191.25,2020-10-01
Borussia Mönchengladbach,314.68,2020-10-01
TSG 1899 Hoffenheim,194.60,2020-10-01
VfB Stuttgart,79.75,2020-10-01
SC Freiburg,107.50,2020-10-01
1.FSV Mainz 05,104.95,2020-10-01
1.FC Köln,95.33,2020-10-01
FC Augsburg,101.93,2020-10-01
Hertha BSC,216.13,2020-10-01
1.FC Union Berlin,57.15,2020-10-01
Arminia Bielefeld,34.00,2020-10-01
VfL Bochum,18.23,2020-10-01
SpVgg Greuther Fürth,10.93,2020-10-01
FC Bayern München,835.25,2020-09-15
Borussia Dortmund,579.75,2020-09-15
RasenBallsport Leipzig,481.78,2020-09-15
Bayer 04 Leverkusen,322.65,2020-09-15
Eintracht Frankfurt,195.53,2020-09-15
VfL Wolfsburg,208.20,2020-09-15
Borussia Mönchengladbach,309.68,2020-09-15
TSG 1899 Hoffenheim,213.88,2020-09-15
VfB Stuttgart,73.70,2020-09-15
SC Freiburg,99.08,2020-09-15
1.FSV Mainz 05,115.80,2020-09-15
1.FC Köln,89.90,2020-09-15
FC Augsburg,106.80,2020-09-15
Hertha BSC,216.73,2020-09-15
1.FC Union Berlin,61.55,2020-09-15
Arminia Bielefeld,34.00,2020-09-15
VfL Bochum,17.33,2020-09-15
SpVgg Greuther Fürth,10.53,2020-09-15
FC Bayern München,839.05,2020-09-01
Borussia Dortmund,582.05,2020-09-01
RasenBallsport Leipzig,460.28,2020-09-01
Bayer 04 Leverkusen,406.65,2020-09-01
Eintracht Frankfurt,195.73,2020-09-01
VfL Wolfsburg,209.20,2020-09-01
Borussia Mönchengladbach,309.68,2020-09-01
TSG 1899 Hoffenheim,214.60,2020-09-01
VfB Stuttgart,76.10,2020-09-01
SC Freiburg,91.45,2020-09-01
1.FSV Mainz 05,115.80,2020-09-01
1.FC Köln,90.85,2020-09-01
FC Augsburg,119.10,2020-09-01
Hertha BSC,220.45,2020-09-01
1.FC Union Berlin,61.55,2020-09-01
Arminia Bielefeld,25.25,2020-09-01
VfL Bochum,17.23,2020-09-01
SpVgg Greuther Fürth,10.68,2020-09-01
FC Bayern München,929.25,2020-08-15
Borussia Dortmund,559.55,2020-08-15
RasenBallsport Leipzig,507.83,2020-08-15
Bayer 04 Leverkusen,406.85,2020-08-15
Eintracht Frankfurt,199.33,2020-08-15
VfL Wolfsburg,205.68,2020-08-15
Borussia Mönchengladbach,294.73,2020-08-15
TSG 1899 Hoffenheim,214.60,2020-08-15
VfB Stuttgart,74.90,2020-08-15
SC Freiburg,108.30,2020-08-15
1.FSV Mainz 05,117.95,2020-08-15
1.FC Köln,94.35,2020-08-15
FC Augsburg,127.88,2020-08-15
Hertha BSC,221.15,2020-08-15
1.FC Union Berlin,63.85,2020-08-15
Arminia Bielefeld,23.98,2020-08-15
VfL Bochum,16.03,2020-08-15
SpVgg Greuther Fürth,10.48,2020-08-15
FC Bayern München,930.75,2020-08-01
Borussia Dortmund,560.45,2020-08-01
RasenBallsport Leipzig,489.03,2020-08-01
Bayer 04 Leverkusen,407.15,2020-08-01
Eintracht Frankfurt,202.73,2020-08-01
VfL Wolfsburg,205.48,2020-08-01
Borussia Mönchengladbach,294.48,2020-08-01
TSG 1899 Hoffenheim,213.45,2020-08-01
VfB Stuttgart,74.90,2020-08-01
SC Freiburg,128.28,2020-08-01
1.FSV Mainz 05,117.60,2020-08-01
1.FC Köln,94.48,2020-08-01
FC Augsburg,128.58,2020-08-01
Hertha BSC,211.80,2020-08-01
1.FC Union Berlin,48.95,2020-08-01
Arminia Bielefeld,24.70,2020-08-01
VfL Bochum,15.63,2020-08-01
SpVgg Greuther Fürth,10.48,2020-08-01
FC Bayern München,932.78,2020-07-15
Borussia Dortmund,558.05,2020-07-15
RasenBallsport Leipzig,470.08,2020-07-15
Bayer 04 Leverkusen,405.35,2020-07-15
Eintracht Frankfurt,202.73,2020-07-15
VfL Wolfsburg,205.68,2020-07-15
Borussia Mönchengladbach,282.08,2020-07-15
TSG 1899 Hoffenheim,217.25,2020-07-15
VfB Stuttgart,61.05,2020-07-15
SC Freiburg,133.73,2020-07-15
1.FSV Mainz 05,117.35,2020-07-15
1.FC Köln,95.48,2020-07-15
FC Augsburg,128.93,2020-07-15
Hertha BSC,210.90,2020-07-15
1.FC Union Berlin,43.78,2020-07-15
Arminia Bielefeld,19.45,2020-07-15
VfL Bochum,14.45,2020-07-15
SpVgg Greuther Fürth,9.90,2020-07-15
FC Bayern München,771.08,2020-07-01
Borussia Dortmund,545.40,2020-07-01
RasenBallsport Leipzig,485.58,2020-07-01
Bayer 04 Leverkusen,398.95,2020-07-01
Eintracht Frankfurt,192.28,2020-07-01
VfL Wolfsburg,200.15,2020-07-01
Borussia Mönchengladbach,251.83,2020-07-01
TSG 1899 Hoffenheim,198.65,2020-07-01
VfB Stuttgart,59.95,2020-07-01
SC Freiburg,129.30,2020-07-01
1.FSV Mainz 05,116.35,2020-07-01
1.FC Köln,94.63,2020-07-01
FC Augsburg,105.05,2020-07-01
Hertha BSC,187.65,2020-07-01
1.FC Union Berlin,33.93,2020-07-01
Arminia Bielefeld,20.45,2020-07-01
VfL Bochum,15.35,2020-07-01
SpVgg Greuther Fürth,12.18,2020-07-01
FC Bayern München,756.58,2020-06-15
Borussia Dortmund,586.23,2020-06-15
RasenBallsport Leipzig,522.58,2020-06-15
Bayer 04 Leverkusen,383.15,2020-06-15
Eintracht Frankfurt,178.98,2020-06-15
VfL Wolfsburg,186.78,2020-06-15
Borussia Mönchengladbach,249.53,2020-06-15
TSG 1899 Hoffenheim,192.43,2020-06-15
VfB Stuttgart,59.40,2020-06-15
SC Freiburg,118.05,2020-06-15
1.FSV Mainz 05,119.63,2020-06-15
1.FC Köln,92.05,2020-06-15
FC Augsburg,106.33,2020-06-15
Hertha BSC,188.38,2020-06-15
1.FC Union Berlin,40.45,2020-06-15
Arminia Bielefeld,20.35,2020-06-15
VfL Bochum,16.73,2020-06-15
SpVgg Greuther Fürth,12.85,2020-06-15
FC Bayern München,756.58,2020-06-01
Borussia Dortmund,586.05,2020-06-01
RasenBallsport Leipzig,522.58,2020-06-01
Bayer 04 Leverkusen,383.15,2020-06-01
Eintracht Frankfurt,178.98,2020-06-01
VfL Wolfsburg,186.58,2020-06-01
Borussia Mönchengladbach,249.53,2020-06-01
TSG 1899 Hoffenheim,192.43,2020-06-01
VfB Stuttgart,59.40,2020-06-01
SC Freiburg,118.05,2020-06-01
1.FSV Mainz 05,119.63,2020-06-01
1.FC Köln,92.05,2020-06-01
FC Augsburg,106.33,2020-06-01
Hertha BSC,188.38,2020-06-01
1.FC Union Berlin,40.45,2020-06-01
Arminia Bielefeld,20.35,2020-06-01
VfL Bochum,16.73,2020-06-01
SpVgg Greuther Fürth,12.90,2020-06-01
FC Bayern München,756.58,2020-05-15
Borussia Dortmund,586.05,2020-05-15
RasenBallsport Leipzig,522.58,2020-05-15
Bayer 04 Leverkusen,383.15,2020-05-15
Eintracht Frankfurt,178.98,2020-05-15
VfL Wolfsburg,186.15,2020-05-15
Borussia Mönchengladbach,249.53,2020-05-15
TSG 1899 Hoffenheim,192.43,2020-05-15
VfB Stuttgart,59.40,2020-05-15
SC Freiburg,118.05,2020-05-15
1.FSV Mainz 05,119.63,2020-05-15
1.FC Köln,92.05,2020-05-15
FC Augsburg,106.33,2020-05-15
Hertha BSC,188.08,2020-05-15
1.FC Union Berlin,40.45,2020-05-15
Arminia Bielefeld,20.35,2020-05-15
VfL Bochum,16.63,2020-05-15
SpVgg Greuther Fürth,12.90,2020-05-15
FC Bayern München,756.58,2020-05-01
Borussia Dortmund,586.05,2020-05-01
RasenBallsport Leipzig,522.58,2020-05-01
Bayer 04 Leverkusen,383.15,2020-05-01
Eintracht Frankfurt,178.98,2020-05-01
VfL Wolfsburg,186.15,2020-05-01
Borussia Mönchengladbach,249.53,2020-05-01
TSG 1899 Hoffenheim,192.43,2020-05-01
VfB Stuttgart,59.40,2020-05-01
SC Freiburg,118.05,2020-05-01
1.FSV Mainz 05,119.63,2020-05-01
1.FC Köln,92.05,2020-05-01
FC Augsburg,106.33,2020-05-01
Hertha BSC,188.08,2020-05-01
1.FC Union Berlin,40.45,2020-05-01
Arminia Bielefeld,20.35,2020-05-01
VfL Bochum,16.63,2020-05-01
SpVgg Greuther Fürth,12.90,2020-05-01
FC Bayern München,756.58,2020-04-15
Borussia Dortmund,586.05,2020-04-15
RasenBallsport Leipzig,522.58,2020-04-15
Bayer 04 Leverkusen,383.15,2020-04-15
Eintracht Frankfurt,178.93,2020-04-15
VfL Wolfsburg,186.15,2020-04-15
Borussia Mönchengladbach,249.53,2020-04-15
TSG 1899 Hoffenheim,192.43,2020-04-15
VfB Stuttgart,59.40,2020-04-15
SC Freiburg,118.05,2020-04-15
1.FSV Mainz 05,119.63,2020-04-15
1.FC Köln,92.05,2020-04-15
FC Augsburg,106.33,2020-04-15
Hertha BSC,188.08,2020-04-15
1.FC Union Berlin,40.45,2020-04-15
Arminia Bielefeld,20.35,2020-04-15
VfL Bochum,16.63,2020-04-15
SpVgg Greuther Fürth,12.90,2020-04-15
FC Bayern München,935.15,2020-04-01
Borussia Dortmund,691.40,2020-04-01
RasenBallsport Leipzig,630.40,2020-04-01
Bayer 04 Leverkusen,457.25,2020-04-01
Eintracht Frankfurt,220.30,2020-04-01
VfL Wolfsburg,230.95,2020-04-01
Borussia Mönchengladbach,312.00,2020-04-01
TSG 1899 Hoffenheim,235.80,2020-04-01
VfB Stuttgart,69.00,2020-04-01
SC Freiburg,146.90,2020-04-01
1.FSV Mainz 05,147.90,2020-04-01
1.FC Köln,111.70,2020-04-01
FC Augsburg,131.65,2020-04-01
Hertha BSC,227.70,2020-04-01
1.FC Union Berlin,50.35,2020-04-01
Arminia Bielefeld,22.25,2020-04-01
VfL Bochum,19.50,2020-04-01
SpVgg Greuther Fürth,14.00,2020-04-01
FC Bayern München,935.15,2020-03-15
Borussia Dortmund,691.40,2020-03-15
RasenBallsport Leipzig,630.40,2020-03-15
Bayer 04 Leverkusen,457.25,2020-03-15
Eintracht Frankfurt,220.30,2020-03-15
VfL Wolfsburg,230.95,2020-03-15
Borussia Mönchengladbach,312.00,2020-03-15
TSG 1899 Hoffenheim,235.80,2020-03-15
VfB Stuttgart,69.00,2020-03-15
SC Freiburg,146.90,2020-03-15
1.FSV Mainz 05,147.90,2020-03-15
1.FC Köln,111.70,2020-03-15
FC Augsburg,131.65,2020-03-15
Hertha BSC,227.70,2020-03-15
1.FC Union Berlin,50.35,2020-03-15
Arminia Bielefeld,22.25,2020-03-15
VfL Bochum,19.50,2020-03-15
SpVgg Greuther Fürth,14.00,2020-03-15
FC Bayern München,933.15,2020-03-01
Borussia Dortmund,637.40,2020-03-01
RasenBallsport Leipzig,594.40,2020-03-01
Bayer 04 Leverkusen,445.75,2020-03-01
Eintracht Frankfurt,215.80,2020-03-01
VfL Wolfsburg,230.95,2020-03-01
Borussia Mönchengladbach,312.00,2020-03-01
TSG 1899 Hoffenheim,238.23,2020-03-01
VfB Stuttgart,69.00,2020-03-01
SC Freiburg,145.48,2020-03-01
1.FSV Mainz 05,147.40,2020-03-01
1.FC Köln,102.20,2020-03-01
FC Augsburg,131.15,2020-03-01
Hertha BSC,233.20,2020-03-01
1.FC Union Berlin,43.05,2020-03-01
Arminia Bielefeld,22.25,2020-03-01
VfL Bochum,20.10,2020-03-01
SpVgg Greuther Fürth,13.95,2020-03-01
FC Bayern München,933.15,2020-02-15
Borussia Dortmund,637.40,2020-02-15
RasenBallsport Leipzig,594.40,2020-02-15
Bayer 04 Leverkusen,445.75,2020-02-15
Eintracht Frankfurt,215.80,2020-02-15
VfL Wolfsburg,230.95,2020-02-15
Borussia Mönchengladbach,312.00,2020-02-15
TSG 1899 Hoffenheim,238.23,2020-02-15
VfB Stuttgart,69.00,2020-02-15
SC Freiburg,145.40,2020-02-15
1.FSV Mainz 05,147.40,2020-02-15
1.FC Köln,102.20,2020-02-15
FC Augsburg,131.15,2020-02-15
Hertha BSC,233.20,2020-02-15
1.FC Union Berlin,43.05,2020-02-15
Arminia Bielefeld,22.25,2020-02-15
VfL Bochum,20.10,2020-02-15
SpVgg Greuther Fürth,13.95,2020-02-15
FC Bayern München,915.15,2020-02-01
Borussia Dortmund,616.40,2020-02-01
RasenBallsport Leipzig,594.60,2020-02-01
Bayer 04 Leverkusen,434.25,2020-02-01
Eintracht Frankfurt,215.80,2020-02-01
VfL Wolfsburg,227.95,2020-02-01
Borussia Mönchengladbach,312.00,2020-02-01
TSG 1899 Hoffenheim,234.83,2020-02-01
VfB Stuttgart,68.35,2020-02-01
SC Freiburg,145.40,2020-02-01
1.FSV Mainz 05,146.40,2020-02-01
1.FC Köln,93.25,2020-02-01
FC Augsburg,131.15,2020-02-01
Hertha BSC,236.20,2020-02-01
1.FC Union Berlin,43.05,2020-02-01
Arminia Bielefeld,21.95,2020-02-01
VfL Bochum,20.10,2020-02-01
SpVgg Greuther Fürth,13.40,2020-02-01
FC Bayern München,893.65,2020-01-15
Borussia Dortmund,640.40,2020-01-15
RasenBallsport Leipzig,563.40,2020-01-15
Bayer 04 Leverkusen,439.75,2020-01-15
Eintracht Frankfurt,216.80,2020-01-15
VfL Wolfsburg,229.45,2020-01-15
Borussia Mönchengladbach,312.00,2020-01-15
TSG 1899 Hoffenheim,237.63,2020-01-15
VfB Stuttgart,68.35,2020-01-15
SC Freiburg,148.40,2020-01-15
1.FSV Mainz 05,144.40,2020-01-15
1.FC Köln,93.95,2020-01-15
FC Augsburg,132.05,2020-01-15
Hertha BSC,205.70,2020-01-15
1.FC Union Berlin,39.70,2020-01-15
Arminia Bielefeld,21.95,2020-01-15
VfL Bochum,18.70,2020-01-15
SpVgg Greuther Fürth,12.65,2020-01-15
FC Bayern München,892.65,2020-01-01
Borussia Dortmund,640.40,2020-01-01
RasenBallsport Leipzig,590.40,2020-01-01
Bayer 04 Leverkusen,439.75,2020-01-01
Eintracht Frankfurt,220.30,2020-01-01
VfL Wolfsburg,238.45,2020-01-01
Borussia Mönchengladbach,316.50,2020-01-01
TSG 1899 Hoffenheim,240.10,2020-01-01
VfB Stuttgart,79.10,2020-01-01
SC Freiburg,149.40,2020-01-01
1.FSV Mainz 05,144.80,2020-01-01
1.FC Köln,87.85,2020-01-01
FC Augsburg,125.05,2020-01-01
Hertha BSC,216.60,2020-01-01
1.FC Union Berlin,39.70,2020-01-01
Arminia Bielefeld,20.45,2020-01-01
VfL Bochum,18.70,2020-01-01
SpVgg Greuther Fürth,12.75,2020-01-01
FC Bayern München,883.65,2019-12-15
Borussia Dortmund,640.50,2019-12-15
RasenBallsport Leipzig,544.40,2019-12-15
Bayer 04 Leverkusen,415.25,2019-12-15
Eintracht Frankfurt,216.05,2019-12-15
VfL Wolfsburg,233.45,2019-12-15
Borussia Mönchengladbach,270.50,2019-12-15
TSG 1899 Hoffenheim,234.80,2019-12-15
VfB Stuttgart,79.05,2019-12-15
SC Freiburg,135.00,2019-12-15
1.FSV Mainz 05,152.45,2019-12-15
1.FC Köln,97.90,2019-12-15
FC Augsburg,139.25,2019-12-15
Hertha BSC,222.70,2019-12-15
1.FC Union Berlin,36.00,2019-12-15
Arminia Bielefeld,20.45,2019-12-15
VfL Bochum,18.70,2019-12-15
SpVgg Greuther Fürth,12.75,2019-12-15
FC Bayern München,882.65,2019-12-01
Borussia Dortmund,640.50,2019-12-01
RasenBallsport Leipzig,544.40,2019-12-01
Bayer 04 Leverkusen,415.25,2019-12-01
Eintracht Frankfurt,216.05,2019-12-01
VfL Wolfsburg,233.45,2019-12-01
Borussia Mönchengladbach,270.50,2019-12-01
TSG 1899 Hoffenheim,234.80,2019-12-01
VfB Stuttgart,83.80,2019-12-01
SC Freiburg,135.00,2019-12-01
1.FSV Mainz 05,152.45,2019-12-01
1.FC Köln,97.90,2019-12-01
FC Augsburg,139.25,2019-12-01
Hertha BSC,222.70,2019-12-01
1.FC Union Berlin,36.00,2019-12-01
Arminia Bielefeld,18.20,2019-12-01
VfL Bochum,15.30,2019-12-01
SpVgg Greuther Fürth,13.15,2019-12-01
FC Bayern München,882.65,2019-11-15
Borussia Dortmund,640.50,2019-11-15
RasenBallsport Leipzig,544.40,2019-11-15
Bayer 04 Leverkusen,415.25,2019-11-15
Eintracht Frankfurt,216.05,2019-11-15
VfL Wolfsburg,233.45,2019-11-15
Borussia Mönchengladbach,270.50,2019-11-15
TSG 1899 Hoffenheim,234.80,2019-11-15
VfB Stuttgart,83.80,2019-11-15
SC Freiburg,135.00,2019-11-15
1.FSV Mainz 05,152.45,2019-11-15
1.FC Köln,97.90,2019-11-15
FC Augsburg,139.25,2019-11-15
Hertha BSC,222.70,2019-11-15
1.FC Union Berlin,36.00,2019-11-15
Arminia Bielefeld,18.20,2019-11-15
VfL Bochum,15.30,2019-11-15
SpVgg Greuther Fürth,13.15,2019-11-15
FC Bayern München,882.65,2019-11-01
Borussia Dortmund,640.50,2019-11-01
RasenBallsport Leipzig,544.40,2019-11-01
Bayer 04 Leverkusen,415.25,2019-11-01
Eintracht Frankfurt,216.05,2019-11-01
VfL Wolfsburg,233.45,2019-11-01
Borussia Mönchengladbach,270.50,2019-11-01
TSG 1899 Hoffenheim,234.80,2019-11-01
VfB Stuttgart,83.80,2019-11-01
SC Freiburg,135.00,2019-11-01
1.FSV Mainz 05,152.45,2019-11-01
1.FC Köln,97.80,2019-11-01
FC Augsburg,139.25,2019-11-01
Hertha BSC,222.70,2019-11-01
1.FC Union Berlin,36.00,2019-11-01
Arminia Bielefeld,18.20,2019-11-01
VfL Bochum,15.30,2019-11-01
SpVgg Greuther Fürth,13.15,2019-11-01
FC Bayern München,882.65,2019-10-15
Borussia Dortmund,640.50,2019-10-15
RasenBallsport Leipzig,544.60,2019-10-15
Bayer 04 Leverkusen,415.25,2019-10-15
Eintracht Frankfurt,217.55,2019-10-15
VfL Wolfsburg,233.45,2019-10-15
Borussia Mönchengladbach,270.50,2019-10-15
TSG 1899 Hoffenheim,234.80,2019-10-15
VfB Stuttgart,83.80,2019-10-15
SC Freiburg,135.00,2019-10-15
1.FSV Mainz 05,152.45,2019-10-15
1.FC Köln,97.80,2019-10-15
FC Augsburg,139.75,2019-10-15
Hertha BSC,222.70,2019-10-15
1.FC Union Berlin,36.00,2019-10-15
Arminia Bielefeld,18.20,2019-10-15
VfL Bochum,15.30,2019-10-15
SpVgg Greuther Fürth,13.15,2019-10-15
FC Bayern München,866.65,2019-10-01
Borussia Dortmund,633.80,2019-10-01
RasenBallsport Leipzig,521.10,2019-10-01
Bayer 04 Leverkusen,413.10,2019-10-01
Eintracht Frankfurt,204.05,2019-10-01
VfL Wolfsburg,224.90,2019-10-01
Borussia Mönchengladbach,257.00,2019-10-01
TSG 1899 Hoffenheim,242.50,2019-10-01
VfB Stuttgart,83.80,2019-10-01
SC Freiburg,121.03,2019-10-01
1.FSV Mainz 05,150.35,2019-10-01
1.FC Köln,94.80,2019-10-01
FC Augsburg,128.25,2019-10-01
Hertha BSC,223.20,2019-10-01
1.FC Union Berlin,35.45,2019-10-01
Arminia Bielefeld,18.20,2019-10-01
VfL Bochum,15.30,2019-10-01
SpVgg Greuther Fürth,13.15,2019-10-01
FC Bayern München,867.40,2019-09-15
Borussia Dortmund,634.10,2019-09-15
RasenBallsport Leipzig,521.10,2019-09-15
Bayer 04 Leverkusen,413.10,2019-09-15
Eintracht Frankfurt,204.05,2019-09-15
VfL Wolfsburg,224.90,2019-09-15
Borussia Mönchengladbach,257.00,2019-09-15
TSG 1899 Hoffenheim,242.50,2019-09-15
VfB Stuttgart,79.63,2019-09-15
SC Freiburg,121.03,2019-09-15
1.FSV Mainz 05,150.35,2019-09-15
1.FC Köln,94.80,2019-09-15
FC Augsburg,128.25,2019-09-15
Hertha BSC,223.20,2019-09-15
1.FC Union Berlin,35.45,2019-09-15
Arminia Bielefeld,18.00,2019-09-15
VfL Bochum,15.20,2019-09-15
SpVgg Greuther Fürth,12.65,2019-09-15
FC Bayern München,866.65,2019-09-01
Borussia Dortmund,642.10,2019-09-01
RasenBallsport Leipzig,522.10,2019-09-01
Bayer 04 Leverkusen,413.10,2019-09-01
Eintracht Frankfurt,223.55,2019-09-01
VfL Wolfsburg,225.70,2019-09-01
Borussia Mönchengladbach,257.00,2019-09-01
TSG 1899 Hoffenheim,258.50,2019-09-01
VfB Stuttgart,82.13,2019-09-01
SC Freiburg,113.98,2019-09-01
1.FSV Mainz 05,150.35,2019-09-01
1.FC Köln,94.80,2019-09-01
FC Augsburg,128.55,2019-09-01
Hertha BSC,215.20,2019-09-01
1.FC Union Berlin,35.58,2019-09-01
Arminia Bielefeld,18.00,2019-09-01
VfL Bochum,15.20,2019-09-01
SpVgg Greuther Fürth,12.65,2019-09-01
FC Bayern München,790.40,2019-08-15
Borussia Dortmund,642.10,2019-08-15
RasenBallsport Leipzig,521.90,2019-08-15
Bayer 04 Leverkusen,420.60,2019-08-15
Eintracht Frankfurt,207.55,2019-08-15
VfL Wolfsburg,230.70,2019-08-15
Borussia Mönchengladbach,266.50,2019-08-15
TSG 1899 Hoffenheim,229.50,2019-08-15
VfB Stuttgart,82.13,2019-08-15
SC Freiburg,113.98,2019-08-15
1.FSV Mainz 05,148.60,2019-08-15
1.FC Köln,101.10,2019-08-15
FC Augsburg,116.05,2019-08-15
Hertha BSC,215.20,2019-08-15
1.FC Union Berlin,35.58,2019-08-15
Arminia Bielefeld,17.70,2019-08-15
VfL Bochum,14.45,2019-08-15
SpVgg Greuther Fürth,13.05,2019-08-15
FC Bayern München,757.15,2019-08-01
Borussia Dortmund,669.10,2019-08-01
RasenBallsport Leipzig,521.90,2019-08-01
Bayer 04 Leverkusen,420.60,2019-08-01
Eintracht Frankfurt,188.35,2019-08-01
VfL Wolfsburg,229.70,2019-08-01
Borussia Mönchengladbach,258.50,2019-08-01
TSG 1899 Hoffenheim,236.50,2019-08-01
VfB Stuttgart,76.13,2019-08-01
SC Freiburg,113.98,2019-08-01
1.FSV Mainz 05,164.60,2019-08-01
1.FC Köln,97.10,2019-08-01
FC Augsburg,130.05,2019-08-01
Hertha BSC,197.38,2019-08-01
1.FC Union Berlin,35.83,2019-08-01
Arminia Bielefeld,17.80,2019-08-01
VfL Bochum,14.75,2019-08-01
SpVgg Greuther Fürth,12.45,2019-08-01
FC Bayern München,759.65,2019-07-15
Borussia Dortmund,717.60,2019-07-15
RasenBallsport Leipzig,478.40,2019-07-15
Bayer 04 Leverkusen,404.05,2019-07-15
Eintracht Frankfurt,225.35,2019-07-15
VfL Wolfsburg,229.60,2019-07-15
Borussia Mönchengladbach,249.50,2019-07-15
TSG 1899 Hoffenheim,269.00,2019-07-15
VfB Stuttgart,87.08,2019-07-15
SC Freiburg,113.98,2019-07-15
1.FSV Mainz 05,164.60,2019-07-15
1.FC Köln,84.70,2019-07-15
FC Augsburg,129.95,2019-07-15
Hertha BSC,193.08,2019-07-15
1.FC Union Berlin,36.78,2019-07-15
Arminia Bielefeld,16.80,2019-07-15
VfL Bochum,14.85,2019-07-15
SpVgg Greuther Fürth,11.60,2019-07-15
FC Bayern München,757.50,2019-07-01
Borussia Dortmund,722.80,2019-07-01
RasenBallsport Leipzig,478.90,2019-07-01
Bayer 04 Leverkusen,408.00,2019-07-01
