verein,marktwert,date
RasenBallsport Leipzig,454.00,2022-03-01
Bayer 04 Leverkusen,417.45,2022-03-01
Eintracht Frankfurt,199.80,2022-03-01
VfL Wolfsburg,254.40,2022-03-01
Borussia Mönchengladbach,237.30,2022-03-01
TSG 1899 Hoffenheim,197.45,2022-03-01
VfB Stuttgart,182.10,2022-03-01
SC Freiburg,146.75,2022-03-01
1.FSV Mainz 05,122.05,2022-03-01
1.FC Köln,75.51,2022-03-01
FC Augsburg,98.80,2022-03-01
Hertha BSC,106.43,2022-03-01
1.FC Union Berlin,71.60,2022-03-01
Arminia Bielefeld,55.75,2022-03-01
VfL Bochum,41.85,2022-03-01
SpVgg Greuther Fürth,29.80,2022-03-01
FC Bayern München,815.75,2022-02-15
Borussia Dortmund,576.30,2022-02-15
RasenBallsport Leipzig,454.00,2022-02-15
Bayer 04 Leverkusen,417.45,2022-02-15
Eintracht Frankfurt,199.80,2022-02-15
VfL Wolfsburg,254.40,2022-02-15
Borussia Mönchengladbach,237.30,2022-02-15
TSG 1899 Hoffenheim,197.45,2022-02-15
VfB Stuttgart,182.10,2022-02-15
SC Freiburg,146.75,2022-02-15
1.FSV Mainz 05,122.85,2022-02-15
1.FC Köln,75.51,2022-02-15
FC Augsburg,98.80,2022-02-15
Hertha BSC,106.43,2022-02-15
1.FC Union Berlin,71.60,2022-02-15
Arminia Bielefeld,58.55,2022-02-15
VfL Bochum,41.85,2022-02-15
SpVgg Greuther Fürth,29.80,2022-02-15
FC Bayern München,815.75,2022-02-01
Borussia Dortmund,576.30,2022-02-01
RasenBallsport Leipzig,457.50,2022-02-01
Bayer 04 Leverkusen,418.45,2022-02-01
Eintracht Frankfurt,200.10,2022-02-01
VfL Wolfsburg,254.40,2022-02-01
Borussia Mönchengladbach,237.30,2022-02-01
TSG 1899 Hoffenheim,197.45,2022-02-01
VfB Stuttgart,182.10,2022-02-01
SC Freiburg,146.75,2022-02-01
1.FSV Mainz 05,122.85,2022-02-01
1.FC Köln,75.51,2022-02-01
FC Augsburg,99.80,2022-02-01
Hertha BSC,105.93,2022-02-01
1.FC Union Berlin,71.60,2022-02-01
Arminia Bielefeld,58.55,2022-02-01
VfL Bochum,42.25,2022-02-01
SpVgg Greuther Fürth,29.80,2022-02-01
FC Bayern München,814.50,2022-01-15
Borussia Dortmund,579.90,2022-01-15
RasenBallsport Leipzig,478.25,2022-01-15
Bayer 04 Leverkusen,407.95,2022-01-15
Eintracht Frankfurt,198.00,2022-01-15
VfL Wolfsburg,265.48,2022-01-15
Borussia Mönchengladbach,269.70,2022-01-15
TSG 1899 Hoffenheim,202.75,2022-01-15
VfB Stuttgart,184.50,2022-01-15
SC Freiburg,146.75,2022-01-15
1.FSV Mainz 05,122.10,2022-01-15
1.FC Köln,76.26,2022-01-15
FC Augsburg,99.80,2022-01-15
Hertha BSC,102.53,2022-01-15
1.FC Union Berlin,75.40,2022-01-15
Arminia Bielefeld,55.05,2022-01-15
VfL Bochum,42.85,2022-01-15
SpVgg Greuther Fürth,32.20,2022-01-15
FC Bayern München,819.50,2022-01-01
Borussia Dortmund,579.90,2022-01-01
RasenBallsport Leipzig,486.40,2022-01-01
Bayer 04 Leverkusen,406.95,2022-01-01
Eintracht Frankfurt,198.75,2022-01-01
VfL Wolfsburg,267.18,2022-01-01
Borussia Mönchengladbach,259.70,2022-01-01
TSG 1899 Hoffenheim,202.25,2022-01-01
VfB Stuttgart,186.30,2022-01-01
SC Freiburg,142.75,2022-01-01
1.FSV Mainz 05,122.10,2022-01-01
1.FC Köln,78.56,2022-01-01
FC Augsburg,91.80,2022-01-01
Hertha BSC,113.53,2022-01-01
1.FC Union Berlin,86.40,2022-01-01
Arminia Bielefeld,54.15,2022-01-01
VfL Bochum,40.25,2022-01-01
SpVgg Greuther Fürth,34.58,2022-01-01
FC Bayern München,840.50,2021-12-15
Borussia Dortmund,603.80,2021-12-15
RasenBallsport Leipzig,497.55,2021-12-15
Bayer 04 Leverkusen,387.45,2021-12-15
Eintracht Frankfurt,200.45,2021-12-15
VfL Wolfsburg,286.03,2021-12-15
Borussia Mönchengladbach,271.50,2021-12-15
TSG 1899 Hoffenheim,202.68,2021-12-15
VfB Stuttgart,174.20,2021-12-15
SC Freiburg,132.15,2021-12-15
1.FSV Mainz 05,106.20,2021-12-15
1.FC Köln,81.46,2021-12-15
FC Augsburg,93.20,2021-12-15
Hertha BSC,122.70,2021-12-15
1.FC Union Berlin,78.30,2021-12-15
Arminia Bielefeld,52.75,2021-12-15
VfL Bochum,38.10,2021-12-15
SpVgg Greuther Fürth,37.08,2021-12-15
FC Bayern München,840.50,2021-12-01
Borussia Dortmund,603.90,2021-12-01
RasenBallsport Leipzig,497.55,2021-12-01
Bayer 04 Leverkusen,387.45,2021-12-01
Eintracht Frankfurt,200.45,2021-12-01
VfL Wolfsburg,286.03,2021-12-01
Borussia Mönchengladbach,271.50,2021-12-01
TSG 1899 Hoffenheim,202.68,2021-12-01
VfB Stuttgart,174.20,2021-12-01
SC Freiburg,132.15,2021-12-01
1.FSV Mainz 05,106.20,2021-12-01
1.FC Köln,81.46,2021-12-01
FC Augsburg,93.20,2021-12-01
Hertha BSC,122.70,2021-12-01
1.FC Union Berlin,78.30,2021-12-01
Arminia Bielefeld,52.75,2021-12-01
VfL Bochum,38.10,2021-12-01
SpVgg Greuther Fürth,37.08,2021-12-01
FC Bayern München,840.50,2021-11-15
Borussia Dortmund,603.90,2021-11-15
RasenBallsport Leipzig,497.55,2021-11-15
Bayer 04 Leverkusen,387.45,2021-11-15
Eintracht Frankfurt,200.45,2021-11-15
VfL Wolfsburg,286.03,2021-11-15
Borussia Mönchengladbach,271.50,2021-11-15
TSG 1899 Hoffenheim,202.28,2021-11-15
VfB Stuttgart,174.20,2021-11-15
SC Freiburg,132.15,2021-11-15
1.FSV Mainz 05,106.40,2021-11-15
1.FC Köln,81.46,2021-11-15
FC Augsburg,93.20,2021-11-15
Hertha BSC,122.70,2021-11-15
1.FC Union Berlin,78.30,2021-11-15
Arminia Bielefeld,52.75,2021-11-15
VfL Bochum,38.10,2021-11-15
SpVgg Greuther Fürth,37.08,2021-11-15
FC Bayern München,840.50,2021-11-01
Borussia Dortmund,603.90,2021-11-01
RasenBallsport Leipzig,497.55,2021-11-01
Bayer 04 Leverkusen,386.75,2021-11-01
Eintracht Frankfurt,200.45,2021-11-01
VfL Wolfsburg,286.03,2021-11-01
Borussia Mönchengladbach,271.50,2021-11-01
TSG 1899 Hoffenheim,202.28,2021-11-01
VfB Stuttgart,174.20,2021-11-01
SC Freiburg,132.15,2021-11-01
1.FSV Mainz 05,106.20,2021-11-01
1.FC Köln,81.46,2021-11-01
FC Augsburg,93.20,2021-11-01
Hertha BSC,122.00,2021-11-01
1.FC Union Berlin,78.30,2021-11-01
Arminia Bielefeld,52.75,2021-11-01
VfL Bochum,38.10,2021-11-01
SpVgg Greuther Fürth,37.08,2021-11-01
FC Bayern München,840.50,2021-10-15
Borussia Dortmund,603.90,2021-10-15
RasenBallsport Leipzig,497.55,2021-10-15
Bayer 04 Leverkusen,386.75,2021-10-15
Eintracht Frankfurt,200.45,2021-10-15
VfL Wolfsburg,286.03,2021-10-15
Borussia Mönchengladbach,271.50,2021-10-15
TSG 1899 Hoffenheim,202.15,2021-10-15
VfB Stuttgart,174.20,2021-10-15
SC Freiburg,132.15,2021-10-15
1.FSV Mainz 05,106.20,2021-10-15
1.FC Köln,81.46,2021-10-15
FC Augsburg,93.20,2021-10-15
Hertha BSC,122.00,2021-10-15
1.FC Union Berlin,78.30,2021-10-15
Arminia Bielefeld,52.75,2021-10-15
VfL Bochum,38.10,2021-10-15
SpVgg Greuther Fürth,37.08,2021-10-15
FC Bayern München,852.90,2021-10-01
Borussia Dortmund,565.90,2021-10-01
