"Country","CountryCode","Province","City","CityCode","Lat","Lon","Cases","Status","Date"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-22T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-23T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-24T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-25T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-26T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-27T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-28T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-29T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-30T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-01-31T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-01T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-02T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-03T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-04T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-05T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-06T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-07T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-08T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-09T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-10T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-11T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-12T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-13T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-14T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-15T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-16T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-17T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-18T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-19T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-20T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-21T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-22T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-23T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-24T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-25T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-26T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-27T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-28T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-02-29T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",0,"confirmed","2020-03-01T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2,"confirmed","2020-03-02T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2,"confirmed","2020-03-03T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2,"confirmed","2020-03-04T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2,"confirmed","2020-03-05T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",4,"confirmed","2020-03-06T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",4,"confirmed","2020-03-07T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",6,"confirmed","2020-03-08T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",19,"confirmed","2020-03-09T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",27,"confirmed","2020-03-10T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",34,"confirmed","2020-03-11T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",34,"confirmed","2020-03-12T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",69,"confirmed","2020-03-13T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",96,"confirmed","2020-03-14T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",117,"confirmed","2020-03-15T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",134,"confirmed","2020-03-16T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",172,"confirmed","2020-03-17T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",227,"confirmed","2020-03-18T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",311,"confirmed","2020-03-19T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",369,"confirmed","2020-03-20T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",450,"confirmed","2020-03-21T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",514,"confirmed","2020-03-22T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",579,"confirmed","2020-03-23T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",686,"confirmed","2020-03-24T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",790,"confirmed","2020-03-25T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",893,"confirmed","2020-03-26T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1046,"confirmed","2020-03-27T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1155,"confirmed","2020-03-28T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1285,"confirmed","2020-03-29T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1414,"confirmed","2020-03-30T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1528,"confirmed","2020-03-31T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1677,"confirmed","2020-04-01T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1790,"confirmed","2020-04-02T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",1986,"confirmed","2020-04-03T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2092,"confirmed","2020-04-04T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2273,"confirmed","2020-04-05T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2491,"confirmed","2020-04-06T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2738,"confirmed","2020-04-07T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",2956,"confirmed","2020-04-08T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",3293,"confirmed","2020-04-09T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",3512,"confirmed","2020-04-10T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",3842,"confirmed","2020-04-11T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",4241,"confirmed","2020-04-12T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",4557,"confirmed","2020-04-13T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",4839,"confirmed","2020-04-14T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",5136,"confirmed","2020-04-15T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",5516,"confirmed","2020-04-16T00:00:00Z"
"Indonesia","ID","","","","-0.79","113.92",5923,"confirmed","2020-04-17T00:00:00Z"
